2023年3月20日17点56分39秒	1-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=656049028857
2023年3月20日17点56分42秒	2-腰痛灸腰间盘突出专用膏药腰肌劳损关节痛腰椎贴酸疼痛药正品1775-tmall.com天猫https://item.taobao.com/item.htm?id=684841565753
2023年3月20日17点56分45秒	3-腰肌劳损贴膏腰酸背痛腰部扭伤拉伤疼痛无力酸胀麻肿痛专用膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=686797148755
2023年3月20日17点56分48秒	4-出错啦！ - 天猫-网上商城 品牌正品 七天无理由退换货 提供发票 商城保障-天猫-上天猫，就购了https://item.taobao.com/item.htm?id=684021640467
2023年3月20日17点56分51秒	5-绿金家园艾草颈椎贴膝盖腰椎贴富贵包生姜艾灸旗舰店YF-tmall.com天猫https://item.taobao.com/item.htm?id=685477771732
2023年3月20日17点56分58秒	6-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=685857207245
2023年3月20日17点57分2秒	7-南京同仁堂绿金家园艾草膝盖贴 艾草贴颈椎肩颈腰椎贴 艾灸关节贴-tmall.com天猫https://item.taobao.com/item.htm?id=685103590646
2023年3月20日17点57分5秒	8-百年扁氏艾草腰椎贴艾草贴艾灸发热肩周椎膝腰颈肩膝贴正品旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=602457991026
2023年3月20日17点57分8秒	9-日本痛风新版冷敷疑胶药关节专用膝盖疼痛特效尿酸高凝胶酸友神器-tmall.com天猫https://item.taobao.com/item.htm?id=677429598353
2023年3月20日17点57分11秒	10-正品宝元堂痛风医用冷敷凝胶疑胶颈腰椎膝盖部位型筋骨康膏贴0qp-tmall.com天猫https://item.taobao.com/item.htm?id=665778567018
2023年3月20日17点57分21秒	11-淘宝网 - 淘！我喜欢https://item.taobao.com/item.htm?id=654422727842
2023年3月20日17点57分24秒	12-蒙澳神蒙古黑膏奥神腰椎贴肩腿关节疼痛贴药房正品保障旗舰店6mi-tmall.com天猫https://item.taobao.com/item.htm?id=685907944510
2023年3月20日17点57分27秒	13-G蒙澳神蒙古黑膏奥神远红外膏贴颈椎腰椎官方旗舰店仙草疼痛帖-tmall.com天猫https://item.taobao.com/item.htm?id=678569482758
2023年3月20日17点57分31秒	14-艾草颈椎贴肩颈腰椎膝盖热敷贴富贵包艾灸艾草贴正品官方旗舰店-tmall.com天猫https://item.taobao.com/item.htm?id=669849417817
2023年3月20日17点57分34秒	15-坐骨神经疼贴膏腰间盘突出专用腰椎压迫神经腿屁股疼痛通络膏药贴-tmall.com天猫https://item.taobao.com/item.htm?id=625358082470
2023年3月20日17点57分37秒	16-#[健洛特]腰椎穴位贴厂家直发腰突腰肌劳损酸麻胀痛外敷理疗-tmall.com天猫https://item.taobao.com/item.htm?id=681171457300
2023年3月20日17点57分40秒	17-修正骨质增生膏贴专用骨刺贴膏根足跟脚后跟膝盖颈椎腰椎贴去-tmall.com天猫https://item.taobao.com/item.htm?id=686228492772
2023年3月20日17点57分44秒	18-百年扁氏艾草膝盖贴正品腰颈肩周艾草艾灸膏贴正品旗舰店二代升级-tmall.com天猫https://item.taobao.com/item.htm?id=687625482046
2023年3月20日17点57分47秒	19-健洛特腰椎穴位贴厂家直发腰突腰肌劳损麻胀痛外敷理疗腰椎部位4-tmall.com天猫https://item.taobao.com/item.htm?id=684746330111
2023年3月20日17点57分50秒	20-腰椎部位型冷敷凝胶喷剂腰椎疼痛腰椎间盘突出专用腰肌劳损药膏贴-tmall.com天猫https://item.taobao.com/item.htm?id=685145240272
2023年3月20日17点57分56秒	21-【天猫正品】方古有艾 艾草腰椎贴12贴盒 颈椎关节不适膝盖舒缓贴-tmall.com天猫https://item.taobao.com/item.htm?id=685500541524
2023年3月20日17点57分59秒	22-骨质增生护膝冷敷凝胶关节疼痛肿胀颈椎膝盖腰椎理疗专用贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=687644760778
2023年3月20日17点58分3秒	23-吕家傅冷敷贴医用官网肩周腰椎间盘突出颈椎礼家传医冷敷贴膏-tmall.com天猫https://item.taobao.com/item.htm?id=685166076187
2023年3月20日17点58分6秒	24-腰椎部位型专用膏药贴腰突压迫神经腰疼腿麻腰椎疼痛远红外理疗贴-tmall.com天猫https://item.taobao.com/item.htm?id=684396100724
2023年3月20日17点58分9秒	25-日本腰间盘腰椎突出专用贴膏腰疼腰痛压迫神经腰肌穴位劳损腿麻贴-tmall.com天猫https://item.taobao.com/item.htm?id=688693383218
2023年3月20日17点58分12秒	26-景天堂颈腰椎间盘腰肌劳损疼痛肩周炎膝盖风湿膏药艾草发热颈椎贴-tmall.com天猫https://item.taobao.com/item.htm?id=687785512366
